SampleTimeFine,D_Leg_Acc_X,D_Leg_Acc_Y,D_Leg_Acc_Z,L_Wrist_Acc_X,L_Wrist_Acc_Y,L_Wrist_Acc_Z,R_Wrist_Acc_X,R_Wrist_Acc_Y,R_Wrist_Acc_Z,Activity
1551631694,0.612918,0.159666,0.070169,-4.174805,-5.198359,-0.681186,-3.805039,1.444656,-2.348165,0
1551665028,0.413296,-0.431463,-0.276141,-0.233931,-2.22709,0.886976,1.840268,-0.297955,-2.928633,0
1551698362,-0.348482,-0.122161,0.276624,1.393063,0.270353,2.1092,5.048223,-0.661319,-3.001491,0
1551731696,-0.380941,0.129888,-0.052347,2.448355,2.60971,2.804738,12.834418,-3.854265,-0.761502,0
1551765030,0.019727,0.107387,-0.423497,4.431292,4.675431,3.307009,13.034189,-5.509581,-0.5801,0
1551798364,-0.192204,-0.04905,-0.253232,5.75581,4.98839,2.73684,10.151483,-2.316698,0.270726,0
1551831698,-0.236761,-0.051992,-0.018903,6.046346,4.60715,1.810759,6.954849,-1.295321,-0.388763,0
1551865032,-0.045427,0.122648,-0.190289,5.718129,4.254938,0.045992,3.407665,0.222305,-0.680076,0
1551898366,-0.00768,0.167016,0.020436,3.053005,1.685192,-2.348224,-0.858904,2.66514,0.924328,0
1551931700,-0.024899,-0.220567,-0.117953,0.646742,3.286504,-1.536338,-4.832379,3.38303,1.932023,0
1551965034,0.192624,-0.364016,-0.135109,-3.814576,0.94848,-1.282716,-9.594604,4.207052,2.77196,0
1551998368,0.13896,-0.454582,-0.106157,-6.422064,-1.641436,-0.906301,-11.274027,2.453331,2.473618,0
1552031702,0.156477,-0.333505,0.118513,-8.565962,-5.222456,0.325198,-9.1758,1.474307,0.353518,0
1552065036,0.106198,-0.260886,0.217774,-6.011,-8.202522,1.297187,-6.745713,1.395034,-2.064034,0
1552098370,0.059999,0.468323,-0.12074,-3.16535,-6.919091,1.257461,-3.574233,0.408198,-3.842074,0
1552131704,0.040761,0.544032,-0.045871,-1.573322,-4.952608,-0.328129,-1.71385,-0.60858,-4.371043,0
1552165038,0.153236,0.357537,0.33254,0.03426,-1.8369,-0.929151,3.163668,-1.222109,-3.139951,0
1552198372,0.173402,0.4071,-0.05113,1.630249,-0.134619,-0.861259,10.265796,-3.931601,-1.572346,0
1552231706,-0.117235,0.362153,-0.005221,2.348663,1.001244,-0.646065,12.518902,-8.16356,0.12645,0
1552265040,-0.060072,0.28009,0.239244,3.70862,2.712541,-1.24901,10.570652,-6.354382,0.856907,0
1552298374,-0.1261,0.239575,-0.361115,4.888885,3.208621,-1.562653,7.909135,-4.527346,0.84689,0
1552331708,0.167683,0.248213,0.196967,5.878894,3.132367,-1.447145,4.999102,-1.56603,0.956358,0
1552365042,-0.062093,0.128539,0.332658,5.319707,3.350055,-1.737094,3.063292,-0.853101,0.013141,0
1552398376,0.482761,-0.149611,0.197539,4.509846,3.290509,-3.234278,-1.808339,-0.488262,0.671414,0
1552431710,1.010816,-0.39479,0.201464,2.614472,2.371925,-4.568245,-3.178408,0.799756,0.243007,0
1552465044,0.774185,-0.198311,0.790723,0.320196,1.507188,-5.027743,-6.105679,1.50488,-0.083681,0
1552498378,1.149148,0.321566,0.926989,-5.87989,-0.514156,-0.382789,-6.920242,1.533413,-1.278817,0
1552531712,0.723265,0.367913,0.664995,-5.81296,-0.667072,-0.0849,-6.783761,1.545533,-2.035328,0
1552565046,0.83028,0.359331,0.643079,-6.475715,-4.524916,3.669032,-6.669957,1.600304,-3.655882,0
1552598380,0.282404,-0.207522,0.150884,-7.025336,-7.002586,6.265211,-5.636886,1.160813,-5.579869,0
1552631714,-0.209648,-0.193785,0.052743,-4.760234,-8.860035,5.869635,-5.385735,2.841171,-5.905649,0
1552665048,-0.408902,0.220733,-0.292173,-1.735915,-7.275819,5.528105,-3.595766,3.55099,-4.426526,0
1552698382,-0.600983,0.339305,-0.475584,-0.813364,-3.211021,3.487397,0.542291,4.533051,-1.370758,0
1552731716,-1.339465,0.376815,-0.542919,0.698557,-0.69328,1.628018,3.779625,4.30537,3.472937,0
1552765050,-1.27925,-0.021985,-0.800685,2.148901,2.922415,0.89945,7.315619,2.328028,10.535919,0
1552798384,-1.167179,-0.056939,-0.708237,3.650868,5.317241,-1.631438,11.052898,-6.127464,14.185551,0
1552831718,-0.761554,0.102941,-0.431818,4.965805,7.716491,-3.253205,7.824139,-5.559195,10.572794,0
1552865052,-0.592225,0.044461,-0.250422,5.733266,8.648496,-5.632977,4.288421,-3.491102,6.362019,0
1552898386,-0.245011,0.372847,-0.065915,3.741699,6.755624,-5.878583,2.229076,-1.246786,2.659898,0
1552931720,0.097223,0.350299,0.084834,1.222245,5.613361,-5.102031,-0.900928,0.54992,-1.243992,0
1552965054,0.371889,0.348303,0.34187,-1.755449,4.284215,-2.692591,-3.937258,1.546946,-3.133526,0
1552998388,0.529022,0.333842,0.149193,-4.385168,1.650106,-0.357455,-4.880828,1.553665,-4.677184,0
1553031722,0.022012,0.192484,-0.020144,-5.711746,-2.434826,1.678139,-6.216815,2.242134,-6.564153,0
1553065056,-0.07496,-0.082453,-0.109623,-4.156795,-5.44028,7.690573,-6.709836,2.167444,-7.391755,0
1553098390,-0.061734,-0.787097,-0.261985,-0.886742,-8.15354,7.147085,-5.995444,1.759108,-7.634329,0
1553131724,-0.022992,-0.302287,-0.225532,2.482731,-9.853046,5.802399,-3.188365,2.198079,-6.926241,0
1553165058,-0.586974,-0.057263,-0.106386,1.687969,-5.83083,4.701367,-0.457669,2.163336,-4.068195,0
1553198392,-0.518478,0.042277,-0.043368,1.160761,-4.097853,4.702344,2.040864,1.111141,0.16406,0
1553231726,-0.49336,0.084884,-0.486351,1.006243,-2.353421,4.088628,4.431411,-0.372561,3.373447,0
1553265060,-0.350968,-0.071226,-0.222684,1.19582,-0.268022,1.79241,6.831099,-5.084372,6.156738,0
1553298394,-0.627201,-0.177714,-0.006079,1.649852,2.705317,-1.585761,4.568131,-8.386743,8.956215,0
1553331728,-0.332123,-0.478785,-0.108939,2.772049,3.343058,-4.704065,6.045684,-7.526149,4.970594,0
1553365062,-0.210785,0.036554,-0.025932,3.11101,1.446346,-2.883834,4.231478,-4.740726,5.390986,0
1553398396,-0.00358,0.516198,0.124755,2.76588,1.971018,-4.704451,1.727735,-1.893701,4.545866,0
1553431730,0.356826,0.590109,0.365153,2.091847,0.567196,-4.157957,-0.721048,0.151518,1.352784,0
1553465064,0.527913,0.471593,0.388601,0.274334,0.854913,-4.605931,-2.275239,1.006484,-0.569779,0
1553498398,0.553253,0.146448,0.441947,-1.050276,0.604923,-3.791216,-4.738314,2.767556,-2.253198,0
1553531732,0.233915,-0.139422,-0.047503,-2.147545,0.565107,-2.443014,-4.17043,2.791383,-2.265718,0
1553565066,-0.151985,-0.528791,-0.154586,-2.659462,0.664008,-0.382779,-6.250123,2.411962,-4.688036,0
1553598400,-0.444346,0.133665,-0.156604,-4.106068,0.097697,-0.007025,-2.288014,3.403156,-3.06061,0
1553631734,-0.697962,-0.017087,-0.279774,-4.98305,-1.25107,3.954262,-1.879635,3.269287,-1.961079,0
1553665068,-0.322051,0.487689,0.035908,-1.827319,0.47037,7.503605,-1.971367,3.047231,-2.218794,0
