Wrist_Acc_X,Wrist_Acc_Y,Wrist_Acc_Z,Upper_Leg_Acc_X,Upper_Leg_Acc_Y,Upper_Leg_Acc_Z,Activity
0.109925,0.090585,-0.199655,-0.166042,0.365196,0.162507,2
0.178545,-0.015946,-0.097509,-0.019842,0.495801,0.130857,2
0.266554,-0.158174,-0.053149,0.02507,0.551887,0.057792,2
0.1503,-0.232626,-0.091231,0.111851,0.310679,0.160697,2
-0.003732,-0.276806,-0.109196,-0.115354,-0.284821,0.110155,2
-0.105257,-0.280924,-0.023681,-0.13376,-0.143721,0.157786,2
-0.225739,-0.298209,0.042913,-0.271861,-0.016662,0.232163,2
-0.393126,-0.362865,0.077237,-0.178574,-0.018205,-0.011381,2
-0.498314,-0.521044,0.01069,-0.033319,0.455495,0.104581,2
-0.564865,-0.528149,-0.178285,0.069292,0.504956,0.178746,2
-0.695082,-0.594863,-0.103285,0.294197,0.223179,-0.072269,2
-0.730076,-0.606796,0.006798,0.111995,0.468335,0.018931,2
-0.705016,-0.594566,0.037608,-0.111796,0.345325,0.101039,2
-0.61551,-0.601998,0.120626,-0.078823,0.115541,-0.046796,2
-0.533606,-0.58594,0.153893,-0.200699,-0.148346,-0.260643,2
-0.496608,-0.351955,0.093778,-0.391721,-1.125402,-0.924137,2
-0.413026,-0.234681,-0.041823,1.431492,1.279095,0.676741,2
-0.402869,-0.183893,-0.353966,-0.80137,-1.79049,1.274363,2
-0.129578,0.043348,0.576369,-0.58487,-1.176417,-0.754032,2
-0.038569,0.280079,0.782035,-0.390671,-0.165538,0.344633,2
-0.079174,0.261512,0.237754,-0.033846,0.534865,0.020217,2
-0.040634,0.200969,-0.200555,0.493582,0.332627,0.244204,2
0.007645,0.411496,-0.312897,0.232245,0.269948,0.005655,2
0.277636,0.717167,-0.198543,0.091451,0.133261,0.153552,2
0.528016,0.740534,-0.325053,-0.191421,0.19159,0.247061,2
0.556144,0.593481,-0.407911,-0.347115,0.072969,0.050895,2
0.577942,0.467555,-0.452311,-0.001139,0.005119,0.127431,2
0.605108,0.458695,-0.431796,0.101204,-0.092056,0.078708,2
0.637327,0.528599,-0.344206,-0.009192,0.105822,0.181164,2
0.582189,0.479877,-0.239117,0.082793,0.338385,0.160061,2
0.423207,0.289222,-0.150478,0.090849,0.167104,0.116215,2
0.253083,0.142224,-0.125818,-0.04975,-0.109684,0.065717,2
0.174949,0.044847,-0.047555,-0.167461,-0.190535,0.116527,2
0.050282,-0.050516,0.087509,-0.090779,0.068732,0.1676,2
-0.090797,-0.100246,0.189952,0.103859,0.021869,0.129889,2
-0.190023,-0.173115,0.216907,0.084169,-0.311004,0.119597,2
-0.273375,-0.237129,0.172858,-0.171864,-0.10344,0.136662,2
-0.352828,-0.204294,0.167236,-0.010094,0.087227,0.150455,2
-0.396138,-0.196676,0.098169,0.056044,0.072392,0.185785,2
-0.388029,-0.188443,0.141231,-0.030727,-0.104254,0.144995,2
-0.375918,-0.170832,0.139623,-0.084434,-0.032471,0.084433,2
-0.350095,-0.144455,0.13041,-0.057849,0.072209,0.129974,2
-0.277025,-0.083878,0.110591,-0.031345,0.125246,0.124885,2
-0.189743,0.030904,0.098334,-0.103306,0.056463,0.133925,2
-0.112996,0.049132,0.077757,-0.02543,0.030905,0.096874,2
-0.024923,0.082245,-0.049072,-0.058526,0.069921,0.119209,2
0.101133,0.089974,-0.142261,-0.043718,0.113247,0.153788,2
0.214085,0.141935,-0.194127,0.01311,-0.141133,0.111508,2
0.268663,0.171302,-0.219532,-0.101786,-0.013797,0.098816,2
0.346109,0.141075,-0.261543,-0.066793,0.027691,0.161952,2
0.338503,0.118808,-0.245768,-0.071311,-0.056186,0.124955,2
0.368026,0.059702,-0.270473,-0.106945,-0.081311,0.129096,2
0.311644,0.049359,-0.183796,-0.028687,-0.046936,0.075614,2
0.250003,-0.004341,-0.108293,0.034492,0.183185,0.174137,2
0.130205,-0.043607,-0.090611,0.117728,0.140127,0.127458,2
0.037082,-0.073691,-0.079442,0.001258,0.239132,0.132735,2
-0.025754,-0.038988,-0.000974,0.020386,0.196497,0.143428,2
-0.014555,0.001961,0.081853,-0.028459,0.147743,0.126987,2
-0.024961,0.006976,0.173553,-0.192076,-0.029687,0.221659,2
-0.049266,0.087052,0.102661,-0.0311,-0.194746,0.110026,2
-0.061515,0.083645,0.028984,-0.173368,-0.152872,0.162553,2
-0.096479,0.143776,-0.011315,-0.02869,-0.210416,0.127939,2
-0.111023,0.164587,0.01131,-0.154716,-0.148334,0.19206,2
-0.145371,0.082879,0.080667,-0.125832,-0.046687,0.19061,2
-0.238225,0.000886,0.076595,-0.108791,-0.011977,0.065595,2
-0.292917,-0.080881,0.029657,-0.124099,0.067276,0.110213,2
-0.292851,-0.157902,0.038067,-0.152338,0.056897,0.188888,2
