SampleTimeFine,D_Leg_Acc_X,D_Leg_Acc_Y,D_Leg_Acc_Z,R_Wrist_Acc_X,R_Wrist_Acc_Y,R_Wrist_Acc_Z,Activity
459014428,0.658554,0.29693,0.245683,0.016678,0.418796,-0.282461,1
459047762,0.706846,0.155676,0.182998,0.19896,0.452773,-0.431787,1
459081096,0.578028,0.118849,0.207097,0.436817,0.391973,-0.380997,1
459114430,0.479531,-0.007667,0.083613,0.577062,0.339269,-0.272625,1
459147764,0.333827,0.005126,0.114279,0.626546,0.301937,-0.050998,1
459181098,0.112332,0.101384,0.078967,0.558511,0.167061,0.251074,1
459214432,0.080764,0.332667,0.13844,0.473219,0.212673,0.409546,1
459247766,-0.014073,0.381379,0.100947,0.406448,0.193231,0.434043,1
459281100,-0.070346,0.340793,0.185511,0.463136,0.124689,0.434761,1
459314434,-0.092036,0.241739,0.248206,0.477874,0.017426,0.36851,1
459347768,0.073973,0.072593,0.037995,0.386927,0.052472,0.192377,1
459381102,0.018153,0.169114,0.108658,0.326555,0.08957,0.066722,1
459414436,-0.126408,-0.413229,0.059885,0.240075,0.173764,-0.040684,1
459447770,-1.273548,-0.149682,0.007742,0.120682,0.343932,0.059419,1
459481104,-1.412977,-0.209366,0.069134,-0.010481,0.591902,0.149869,1
459514438,-1.484574,0.094922,0.09668,-0.082647,0.765158,0.066932,1
459547772,-1.399303,0.332368,-0.087717,-0.07813,0.739257,0.052835,1
459581106,-1.442538,0.637458,-0.050415,-0.104124,0.721448,0.056836,1
459614440,-1.181554,0.358473,0.010548,-0.240942,0.760274,0.060967,1
459647774,-0.917427,0.479749,-0.005835,-0.244677,0.643187,-0.046873,1
459681108,-0.719438,0.010895,0.155548,-0.183041,0.587512,-0.049162,1
459714442,-0.442422,-0.264892,0.036047,-0.081597,0.480435,-0.036191,1
459747776,-0.245778,-0.018295,-0.05179,0.002559,0.392376,-0.031454,1
459781110,-0.144245,0.160252,-0.051513,0.079896,0.274727,-0.016382,1
459814444,0.011666,0.227101,0.01106,0.144874,0.231098,-0.098689,1
459847778,0.08804,0.524966,-0.277524,0.219258,0.083478,-0.00685,1
459881112,-0.170955,0.473901,0.030659,0.297205,-0.044985,0.030861,1
459914446,0.371046,0.1822,0.520184,0.347991,-0.19118,0.114314,1
459947780,1.848321,0.002345,0.440334,0.413992,-0.227702,0.208237,1
459981114,2.802926,-0.174306,0.514375,0.51765,-0.28926,0.384568,1
460014448,2.266894,-0.243539,0.541096,0.594928,-0.294386,0.538078,1
460047782,1.023534,-0.090779,0.178994,0.529752,-0.267189,0.53699,1
460081116,0.017376,0.180374,0.004724,0.440929,-0.291642,0.397861,1
460114450,-0.344871,0.617678,-0.051706,0.311772,-0.306499,0.326801,1
460147784,-0.436724,0.797623,-0.063745,0.138505,-0.384124,0.339682,1
460181118,-0.369059,0.491736,0.03363,0.001194,-0.245579,0.298244,1
460214452,-0.097694,-0.032346,0.143674,0.069568,-0.241794,0.161662,1
460247786,0.371739,-0.276631,0.144365,0.148611,-0.183718,0.200363,1
460281120,0.617731,-0.17609,0.144672,0.079312,-0.089469,0.21831,1
460314454,0.481788,0.172645,0.237671,-0.094541,0.069172,0.126108,1
460347788,0.447283,0.416128,0.171514,-0.175126,0.153713,0.153338,1
460381122,0.246034,0.370315,0.149199,-0.122628,0.205296,0.165007,1
460414456,0.258224,0.155882,0.231527,-0.05121,0.276564,0.211379,1
460447790,0.3189,-0.063313,0.138322,-0.004488,0.284853,0.178748,1
460481124,0.209695,-0.051751,0.070786,-0.013812,0.262273,0.146162,1
460514458,0.127612,-0.003762,0.081585,-0.005399,0.220107,0.157766,1
460547792,0.025064,0.109507,0.084114,-0.022331,0.126007,0.21119,1
460581126,-0.170939,0.140683,0.042882,-0.039836,0.076721,0.310682,1
460614460,-0.200431,0.156085,0.084208,-0.023056,-0.044455,0.347985,1
460647794,-0.247193,0.154063,0.09033,-0.047743,-0.033212,0.220672,1
460681128,-0.300186,0.139168,0.091833,-0.015002,-0.093581,0.165722,1
460714462,-0.298913,0.123998,0.055394,0.042317,-0.075759,0.100377,1
460747796,-0.192452,0.116002,0.053866,0.004371,0.114075,0.030203,1
460781130,-0.272363,0.083486,0.092939,0.097998,0.247199,0.016254,1
460814464,-0.379789,0.083073,0.100798,0.239383,0.342767,0.089333,1
460847798,-0.330358,0.074524,0.053049,0.25651,0.421424,0.055513,1
460881132,-0.230714,0.101991,0.085299,0.283976,0.445259,-0.023643,1
460914466,-0.287727,0.210553,0.108942,0.273576,0.432701,0.011456,1
460947800,-0.197801,0.22346,0.078279,0.162132,0.476564,0.024443,1
460981134,-0.087878,0.126617,0.103891,0.1133,0.478141,0.069686,1
461014468,-0.090656,0.107131,0.123613,0.098157,0.389446,0.055772,1
461047802,-0.01197,0.09003,0.100143,0.008258,0.292801,0.124614,1
461081136,0.032499,0.072764,0.123038,-0.081965,0.202504,0.149648,1
461114470,0.101032,0.080354,0.123525,-0.132348,0.122991,0.139197,1
461147804,0.098766,0.113782,0.13143,-0.130593,0.098409,0.190631,1
461181138,0.046247,0.082004,0.142771,-0.112884,0.099579,0.237972,1
461214472,0.02737,0.172657,0.081639,-0.07856,0.123684,0.195326,1
461247806,0.032492,0.25902,0.113383,0.001799,0.13991,0.142544,1
461281140,0.018655,0.214912,0.090346,0.0466,0.179195,0.08075,1
461314474,0.035132,0.119162,0.136311,0.079173,0.293251,0.060896,1
461347808,0.037779,0.125741,0.079309,0.107665,0.364774,0.059158,1
461381142,0.048672,0.172807,0.175095,0.268232,0.372499,0.107035,1
461414476,0.177725,0.161779,0.100859,0.277315,0.251605,0.123209,1
461447810,0.240574,0.209578,0.164017,0.276447,0.111593,0.03595,1
461481144,0.268511,0.272101,0.205534,0.189238,0.028174,0.100653,1
461514478,-0.623344,0.720874,1.356027,0.152368,-0.064734,0.18837,1
461547812,1.153038,-0.65335,0.210058,0.217361,-0.073302,0.25361,1
461581146,2.216072,0.675244,-0.062963,0.282835,-0.108711,0.265954,1
461614480,-0.536725,-0.196379,-0.417798,0.251922,-0.004297,0.272887,1
461647814,-1.563281,-0.106822,-0.276684,0.143965,0.107651,0.30211,1
461681148,-1.38988,0.821786,-0.115691,0.052515,0.12161,0.185913,1
461714482,-0.9112,0.329597,0.082118,-0.002085,0.097889,0.14564,1
461747816,-0.257007,0.369954,-0.017951,-0.034632,0.028527,0.167726,1
461781150,0.300229,0.222592,0.167758,-0.071163,0.026924,0.096704,1
461814484,0.760629,-0.13168,0.129132,0.009415,0.110854,0.126054,1
461847818,0.989871,-0.036838,0.316664,0.095732,0.167054,0.140695,1
461881152,0.957004,0.132974,0.286932,0.124414,0.254676,0.185716,1
461914486,0.729213,0.25667,0.111823,0.115378,0.341042,0.153611,1
461947820,0.36703,0.276623,0.193087,0.146115,0.392556,0.149659,1
461981154,-0.126147,0.269886,0.045356,0.182904,0.268508,0.107948,1
462014488,-0.226109,0.184867,-0.030822,0.183655,0.185017,0.058739,1
462047822,0.02288,0.162401,0.099473,0.146483,0.084595,0.088359,1
462081156,-0.047424,0.24643,0.107899,0.139759,-0.087994,0.163601,1
462114490,0.061194,0.457271,0.072855,0.239581,-0.227554,0.292741,1
462147824,0.090572,0.320345,0.093494,0.248609,-0.318313,0.275235,1
462181158,0.039323,0.251535,0.079431,0.272629,-0.364421,0.239479,1
462214492,0.156038,0.157056,0.067562,0.273419,-0.40133,0.248621,1
462247826,0.209514,0.246371,0.080803,0.234706,-0.304755,0.220911,1
462281160,0.227863,0.23636,0.082582,0.246271,-0.171269,0.18549,1
462314494,0.242678,0.192471,0.093964,0.270459,-0.106938,0.150301,1
462347828,0.212999,0.158503,0.122895,0.230145,0.053467,0.113607,1
462381162,0.068856,0.279161,0.162096,0.179187,0.109803,0.119181,1
462414496,0.113339,0.363801,0.069889,0.111101,0.155646,0.126473,1
462447830,0.184845,0.401258,0.119724,0.075019,0.175199,0.155408,1
462481164,0.132643,0.258917,0.120395,-0.003515,0.175784,0.127155,1
462514498,0.171202,0.09775,0.147415,-0.024331,0.20463,0.195448,1
462547832,0.139328,-0.104401,0.129687,-0.042554,0.189764,0.159812,1
462581166,0.051807,0.047013,0.071504,-0.111172,0.273065,0.134891,1
462614500,0.003881,0.245327,0.062321,-0.137915,0.265874,0.242139,1
462647834,-0.082982,0.187876,0.061582,-0.183198,0.296406,0.235245,1
462681168,-0.038026,0.162249,0.157294,-0.20743,0.268523,0.170979,1
462714502,0.072472,0.052205,0.082083,-0.170723,0.216616,0.095377,1
462747836,0.122532,0.042862,0.064581,-0.139437,0.204466,0.055995,1
462781170,0.083101,0.14167,0.178686,-0.058275,0.174219,0.07818,1
462814504,0.172713,0.273567,0.095216,0.004045,0.160276,0.137133,1
462847838,0.124737,0.145161,0.064601,0.031216,0.130485,0.218679,1
462881172,0.071973,0.249036,0.091963,0.052688,0.05534,0.206037,1
462914506,0.107543,0.38626,0.117285,0.080194,0.010558,0.170102,1
