SampleTimeFine,D_Leg_Acc_X,D_Leg_Acc_Y,D_Leg_Acc_Z,D_Upper_Arm_Acc_X,D_Upper_Arm_Acc_Y,D_Upper_Arm_Acc_Z,L_Wrist_Acc_X,L_Wrist_Acc_Y,L_Wrist_Acc_Z,R_Wrist_Acc_X,R_Wrist_Acc_Y,R_Wrist_Acc_Z,Activity
3822683051,-0.319652,-0.452286,-0.643417,1.101831,-1.482611,-1.199939,2.335588,0.264514,-0.534962,-0.399781,0.590856,-4.822541,0
3822716385,-0.563803,0.403726,-0.338353,1.22554,-1.002663,-1.852016,2.475992,0.077675,-0.785143,0.784014,-0.334847,-4.569981,0
3822749719,0.378138,1.172626,-0.023776,1.31139,-0.776939,-1.938771,1.394276,0.827241,-2.679669,1.405845,-2.505628,-4.717841,0
3822783053,0.142039,1.414594,-0.07019,1.274794,-0.268133,-2.938992,0.757362,-0.193355,-2.116284,2.289049,-4.349088,-4.505771,0
3822816387,0.680394,1.107298,0.017309,1.238615,1.142206,-3.895288,-0.235391,-0.182213,-2.835945,0.65155,-9.001758,-3.319125,0
3822849721,0.914651,0.752392,0.128377,1.875635,2.613257,-4.893166,-2.068954,-0.550867,-2.71003,-0.938802,-10.817204,-4.380842,0
3822883055,0.767198,0.646779,-0.021276,2.552739,1.876283,-4.622093,-3.888027,-1.447087,-2.832403,-2.685495,-11.218513,-5.912315,0
3822916389,0.56316,0.11063,-0.03931,1.839364,0.199955,-3.336198,-4.37816,-1.735716,-2.812163,-0.093371,-8.415501,-4.399381,0
3822949723,-0.294977,-0.345114,-0.238972,0.149061,-1.354201,-2.439152,-4.119561,-1.154688,-2.758919,0.690051,-5.27465,-3.200874,0
3822983057,-0.781756,-0.794961,-0.144597,-0.33723,0.038727,-1.407002,-3.28094,-0.828445,-2.824279,0.399995,0.120151,-2.432464,0
3823016391,-1.032494,-1.088005,-0.233358,0.185116,0.280989,0.32104,-3.241933,-0.57708,-3.918645,1.2224,3.892476,-0.050407,0
3823049725,-1.421684,0.624079,-0.303643,-0.602306,-0.310546,1.814624,-2.032531,-1.56326,-4.959628,0.706571,5.980299,1.317582,0
3823083059,-0.567464,0.409734,0.071114,-1.095594,-0.225018,3.02904,0.463933,0.22506,-6.972314,0.820843,8.605387,2.863366,0
3823116393,0.740943,-0.103301,0.35191,-1.389085,0.110155,3.646423,3.852202,-0.393718,-4.826389,-0.158025,10.328963,4.263288,0
3823149727,0.206684,0.916524,-0.059458,-1.022975,0.139422,3.626004,6.866403,0.690805,-3.147568,0.442156,10.095227,3.007066,0
