PacketCounter,SampleTimeFine,Arm_Euler_X,Arm_Euler_Y,Arm_Euler_Z,Arm_Acc_X,Arm_Acc_Y,Arm_Acc_Z,Arm_Gyr_X,Arm_Gyr_Y,Arm_Gyr_Z,Leg_Euler_X,Leg_Euler_Y,Leg_Euler_Z,Leg_Acc_X,Leg_Acc_Y,Leg_Acc_Z,Leg_Gyr_X,Leg_Gyr_Y,Leg_Gyr_Z,Activity
1628,4205961873,-88.99526977539062,-78.58903503417969,17.86425590515137,9.69243240356445,-2.21387720108032,0.21691365540028,10.29824733734131,-5.28381299972534,-1.79505658149719,143.7326202392578,-77.10868072509766,-144.90223693847656,9.82781410217285,1.15530467033386,-1.70194947719574,6.55943441390991,1.487628698349,-4.50709056854248,0
1629,4205995207,-89.43888854980469,-78.64777374267578,18.76733207702637,9.74471569061279,-2.08232569694519,0.12460775673389,12.87369346618652,-5.84172248840332,-1.86582005023956,143.17674255371094,-77.06130981445312,-144.03871154785156,9.83032035827637,0.97570592164993,-1.69899201393127,8.99704933166504,2.66196775436401,-5.53687953948975,0
1630,4206028541,-89.86017608642578,-78.75650787353516,19.70331001281738,9.69854545593262,-2.1037905216217,0.03719587624073,14.52328777313232,-5.99325799942017,-3.41214847564697,142.67051696777344,-76.97944641113281,-143.0780792236328,9.79817771911621,0.99990546703339,-1.61106371879578,13.31818199157715,2.29948663711548,-6.68465995788574,0
1631,4206061875,-90.42992401123048,-78.87677764892578,20.86971855163574,9.54157829284668,-2.0749659538269,0.02072907611728,16.86002540588379,-7.24962282180786,-3.80854034423828,142.4828338623047,-76.84252166748047,-142.31959533691406,9.62526893615723,1.18727552890778,-1.48418438434601,16.95598793029785,0.22205032408237,-6.63151407241821,0
1632,4206095209,-91.21323394775392,-78.93508911132812,22.33485794067383,9.50648498535156,-1.98631846904755,-0.09584110975266,19.25738143920898,-8.9036808013916,-2.05314302444458,142.3202362060547,-76.66378021240234,-141.54161071777344,9.55300235748291,1.33938992023468,-1.52754354476929,18.26402282714844,-0.63091790676117,-7.54978466033936,0
1633,4206128543,-92.2384796142578,-78.90896606445312,24.05915451049805,9.59107208251953,-2.01371908187866,-0.24175505340099,19.63381195068359,-10.42986488342285,0.29775288701057,142.0787353515625,-76.43582916259766,-140.71217346191406,9.55291080474854,1.43920969963074,-1.66052651405334,17.37807273864746,-1.50405299663544,-8.80563259124756,0
1634,4206161877,-93.46493530273438,-78.81614685058594,25.97708702087402,9.52050018310547,-2.03270626068115,-0.30839601159096,19.2879810333252,-11.70925331115723,2.04176950454712,141.9572296142578,-76.18103790283203,-140.04380798339844,9.53237724304199,1.44007611274719,-1.8533843755722,16.25963401794434,-2.74958467483521,-8.4840145111084,0
1635,4206195211,-94.7690887451172,-78.71971130371094,28.08362007141113,9.90120410919189,-2.13784146308899,-0.41083148121834,22.4866828918457,-12.95405101776123,1.81709122657776,142.00680541992188,-75.943115234375,-139.44827270507812,9.86509990692139,1.35971546173096,-2.13780617713928,19.25076675415039,-2.62335848808289,-7.8275899887085,0
1636,4206228545,-95.71751403808594,-78.64950561523438,29.87498092651367,9.8954610824585,-2.00845646858215,-0.43859648704529,23.87054443359375,-11.15887260437012,0.94619357585907,141.80702209472656,-75.71015167236328,-138.50270080566406,9.7289514541626,1.47391927242279,-2.29728531837463,21.93200302124023,-0.85918498039246,-9.8180103302002,0
1637,4206261879,-96.66527557373048,-78.52444458007812,31.62760734558105,9.7238712310791,-2.05127644538879,-0.51737868785858,22.73335266113281,-11.2123384475708,2.41923713684082,141.62701416015625,-75.49188995361328,-137.60671997070312,9.59831237792969,1.76191031932831,-2.2322416305542,21.05954551696777,-0.64574259519577,-9.34484100341797,0
