SampleTimeFine,D_Leg_Acc_X,D_Leg_Acc_Y,D_Leg_Acc_Z,L_Wrist_Acc_X,L_Wrist_Acc_Y,L_Wrist_Acc_Z,R_Wrist_Acc_X,R_Wrist_Acc_Y,R_Wrist_Acc_Z,Activity
1057625687,1.093162,-0.468353,0.2503,-0.423001,-0.163706,0.177566,0.045853,0.307578,0.195632,1
1057659021,0.668054,-0.113951,0.217923,-0.357732,-0.228542,0.321102,0.521311,0.441597,0.29312,1
1057692355,0.286493,0.140562,0.104632,-0.293696,-0.226029,0.109033,0.11368,0.359133,0.006264,1
1057725689,0.017286,0.274907,0.02559,0.443485,-0.269773,-0.218859,-0.18462,0.400634,-0.0807,1
1057759023,-0.115724,0.315009,0.084428,0.029423,-0.06609,-0.08124,-0.168158,0.211354,0.018747,1
1057792357,-0.081498,0.201281,0.067464,-0.145995,0.06961,-0.086778,-0.128077,0.167683,0.029204,1
1057825691,-0.12173,0.108165,0.037786,0.171332,0.158941,-0.149824,0.092178,-0.34552,0.262206,1
1057859025,-0.185724,0.146302,0.081413,0.388001,0.088672,-0.116332,0.818543,-0.444667,0.383947,1
1057892359,-0.095405,0.252387,0.049132,0.180038,-0.213631,-0.027706,0.272931,0.046023,-0.03305,1
1057925693,-0.102737,0.344103,0.034346,0.054237,-0.230185,-0.082962,-0.231602,0.464373,-0.131592,1
1057959027,-0.105312,0.395872,0.072837,-0.172601,0.00991,-0.146768,0.036113,0.035431,0.277891,1
1057992361,-0.0099,0.327825,0.054711,0.047938,0.0031,-0.055137,-0.089503,0.107581,0.079891,1
1058025695,-0.006837,0.22221,0.067287,-0.042177,-0.111873,0.118332,-0.075922,0.166426,0.07498,1
1058059029,0.011805,0.086805,0.123333,-0.085615,-0.07868,0.028002,0.045193,0.135124,0.224689,1
1058092363,0.178227,0.037719,0.132006,-0.007419,0.002842,-0.051799,0.10922,-0.016162,0.24369,1
1058125697,0.263859,-0.001663,0.11098,-0.065196,0.159115,-0.08532,0.05441,-0.099136,0.120767,1
1058159031,0.236864,-0.007227,0.150998,0.156322,0.00491,-0.09945,0.297044,-0.042634,0.083196,1
1058192365,0.228441,0.038729,0.159735,0.039248,0.024687,-0.081143,0.284825,0.045336,0.23259,1
1058225699,0.208514,0.084867,0.079232,0.199258,0.378006,-0.384398,0.043872,0.198049,0.170893,1
